route_id,school_id,school_name,bus_id,driver_id,date,year,month,day,day_of_week,is_weekend,season,hour,minute,is_peak_hour,num_stops,total_distance_km,total_students,students_per_stop,avg_distance_per_stop,route_zone,route_complexity_score,road_type,road_quality_score,traffic_conditions,weather,temperature_celsius,driver_experience_years,driver_age,bus_age_years,bus_capacity,bus_maintenance_score,occupancy_rate,school_lat,school_lon,avg_stop_lat,avg_stop_lon,total_time_minutes,avg_speed_kmh,time_per_stop_minutes,time_per_km_minutes
ROUTE_00001,SCH_003,Private School C,BUS_027,DRV_037,2024-04-12,2024,4,12,4,0,spring,7,14,1,15,224.583,50,3.33,14.972,Zone_B,100.0,highway,3.13,light,cloudy,30.4,17,41,0,50,4.93,1.0,3.2,101.65,3.1741,101.6899,335.29,40.19,22.35,1.49
ROUTE_00002,SCH_001,International School A,BUS_027,DRV_022,2024-08-05,2024,8,5,0,0,summer,7,31,1,11,141.817,50,4.55,12.892,Zone_C,100.0,residential,4.24,moderate,clear,34.2,23,26,9,50,4.63,1.0,3.15,101.68,3.1822,101.6754,802.47,10.6,72.95,5.66
ROUTE_00003,SCH_001,International School A,BUS_014,DRV_039,2024-10-25,2024,10,25,4,0,monsoon,7,38,1,17,239.75,50,2.94,14.103,Zone_D,100.0,local_road,3.88,light,fog,31.0,13,63,14,50,2.17,1.0,3.15,101.68,3.1374,101.7054,1497.7,9.6,88.1,6.25
ROUTE_00004,SCH_003,Private School C,BUS_023,DRV_011,2024-03-16,2024,3,16,5,1,spring,6,57,1,16,175.625,50,3.12,10.977,Zone_E,100.0,highway,4.05,moderate,clear,29.2,19,47,14,50,3.2,1.0,3.2,101.65,3.1898,101.7064,331.67,31.77,20.73,1.89
ROUTE_00005,SCH_002,National School B,BUS_006,DRV_042,2024-12-25,2024,12,25,2,0,winter,6,24,1,7,101.358,42,6.0,14.48,Zone_A,100.0,local_road,4.34,moderate,cloudy,26.5,9,61,3,50,3.94,0.84,3.12,101.7,3.2055,101.6812,516.86,11.77,73.84,5.1
ROUTE_00006,SCH_001,International School A,BUS_008,DRV_020,2024-05-29,2024,5,29,2,0,spring,6,5,1,11,194.937,50,4.55,17.722,Zone_B,100.0,highway,4.0,moderate,cloudy,29.4,11,34,5,50,2.68,1.0,3.15,101.68,3.1816,101.7287,389.72,30.01,35.43,2.0
ROUTE_00007,SCH_001,International School A,BUS_008,DRV_017,2024-08-05,2024,8,5,0,0,summer,6,17,1,13,168.775,50,3.85,12.983,Zone_C,100.0,local_road,4.96,moderate,clear,32.8,14,33,1,50,3.9,1.0,3.15,101.68,3.1549,101.6908,741.21,13.66,57.02,4.39
ROUTE_00008,SCH_001,International School A,BUS_029,DRV_048,2024-01-29,2024,1,29,0,0,winter,5,22,0,9,135.409,50,5.56,15.045,Zone_D,100.0,local_road,4.79,free_flow,cloudy,24.4,8,47,1,50,4.24,1.0,3.15,101.68,3.1651,101.7083,399.76,20.32,44.42,2.95
ROUTE_00009,SCH_003,Private School C,BUS_027,DRV_025,2024-04-12,2024,4,12,4,0,spring,5,30,0,12,164.363,50,4.17,13.697,Zone_E,100.0,local_road,4.63,moderate,cloudy,31.5,21,60,5,50,2.57,1.0,3.2,101.65,3.1509,101.719,642.34,15.35,53.53,3.91
ROUTE_00010,SCH_001,International School A,BUS_004,DRV_024,2024-12-28,2024,12,28,5,1,winter,6,38,1,19,249.157,50,2.63,13.114,Zone_A,100.0,main_road,4.6,light,fog,25.3,20,61,11,50,3.11,1.0,3.15,101.68,3.1333,101.7089,819.05,18.25,43.11,3.29
